id,hanzi,simplified,pinyin,enUS,esES,exampleCN,examplePinyin,exampleES,hsk,tags
4b9b14c5cebc,晚,晚,wǎn,late,tarde,對不起，我來晚了。,"Duìbùqǐ, wǒ lái wǎn le.","Lo siento, he llegado tarde.",0,Book3_Lesson3
5c0c25d6dfcd,回家,回家,huí jiā,go home,volver a casa,我打算下班後直接回家。,Wǒ dǎsuàn xiàbān hòu zhíjiē huíjiā.,Planeo ir directo a casa después del trabajo.,0,Book3_Lesson3
6d1d36e7e0de,過節,过节,guò jié,spend/celebrate a holiday,celebrar una fiesta,你們家是怎麼過節的？,Nǐmen jiā shì zěnme guòjié de?,¿Cómo celebra las fiestas tu familia?,0,Book3_Lesson3
7e2e47f8f1ef,早一點,早一点,zǎo yìdiǎn,a bit early,un poco temprano,明天請早一點來學校。,Míngtiān qǐng zǎoyìdiǎn lái xuéxiào.,"Por favor, ven a la escuela un poco más temprano mañana.",0,Book3_Lesson3
8f3f580902f0,烤火雞,烤火鸡,kǎo huǒjī,roast turkey,pavo asado,烤火雞的味道非常香。,Kǎohuǒjī de wèidào fēicháng xiāng.,El olor del pavo asado es muy rico.,0,Book3_Lesson3
a11b2c3d4e01,同學,同学,tóngxué,classmate,compañero de clase,他們都是我的大學同學。,Tāmen dōu shì wǒ de dàxué tóngxué.,Todos ellos son mis compañeros de la universidad.,0,Book3_Lesson1
b22c3d4e5f12,大家,大家,dàjiā,everyone,todos,請大家安靜一下。,Qǐng dàjiā ānjìng yíxià.,"Por favor, que todo el mundo guarde silencio.",0,Book3_Lesson1
c33d4e5f6a23,學期,学期,xuéqí,academic term,semestre académico,這個學期我選了很多課。,Zhège xuéqī wǒ xuǎn le hěnduō kè.,Este semestre he elegido muchas clases.,0,Book3_Lesson1
d44e5f6a7b34,第,第,dì,ordinal prefix,prefijo ordinal,他是班上第一名。,Tā shì bānshàng dì yī míng.,Él es el primer puesto de la clase.,0,Book3_Lesson1
e55f6a7b8c45,度假,度假,dùjià,to take a vacation,ir de vacaciones,夏天我們去海邊度假。,Xiàtiān wǒmen qù hǎibiān dùjià.,En verano vamos a la playa de vacaciones.,0,Book3_Lesson1
f66a7b8c9d56,加班,加班,jiābān,work overtime,hacer horas extra,今天工作太多，我得加班。,"Jīntiān gōngzuò tài duō, wǒ děi jiābān.","Hoy hay demasiado trabajo, tengo que hacer horas extras.",0,Book3_Lesson1
0a77b8c9d0e67,好,好,hǎo,really; quite,muy; bastante,這是一個好主意。,Zhè shì yígè hǎo zhǔyì.,Esa es una buena idea.,0,Book3_Lesson1
1b88c9d0e1f78,辛苦,辛苦,xīnkǔ,arduous; hard,duro; agotador,你工作辛苦了，早點休息吧。,"Nǐ gōngzuò xīnkǔ le, zǎodiǎn xiūxí ba.","Te has esforzado mucho en el trabajo, descansa temprano.",0,Book3_Lesson1
2c99d0e1f2a89,啊,啊,a,exclamatory particle,partícula exclamativa,這朵花真漂亮啊！,Zhè duǒ huā zhēn piàoliang a!,¡Qué bonita es esta flor!,0,Book3_Lesson1
3daa01f2a3b9a,教室,教室,jiàoshì,classroom,aula,學生們都在教室裡上課。,Xuéshengmen dōu zài jiàoshì lǐ shàngkè.,Los estudiantes están en el aula en clase.,0,Book3_Lesson1
4ebb12a3b4ca,事,事,shì,matter; thing,asunto; cosa,你有什麼事要跟我說嗎？,Nǐ yǒu shéme shì yào gēn wǒ shuō ma?,¿Tienes algo que decirme?,0,Book3_Lesson1
5fcc23b4c5db,就,就,jiù,indeed; right away,precisamente; enseguida,我做完作業就去睡覺。,Wǒ zuò wán zuòyè jiù qù shuìjiào.,Me iré a dormir en cuanto termine los deberes.,0,Book3_Lesson1
6add34c5d6ec,以前,以前,yǐqián,before; previously,antes; anteriormente,我以前住在大陸。,Wǒ yǐqián zhù zài dàlù.,Antes vivía en China continental.,0,Book3_Lesson1
7bee45d6e7fd,換,换,huàn,change; switch,cambiar,我想換一個大一點的碼。,Wǒ xiǎng huàn yígè dà yìdiǎn de mǎ.,Quiero cambiarlo por una talla un poco más grande.,0,Book3_Lesson1
8cff56e7f80e,東部,东部,dōngbù,east (region),este (región),美國的東部有很多大城市。,Měiguó de dōngbù yǒu hěnduō dà chéngshì.,En el este de los Estados Unidos hay muchas ciudades grandes.,0,Book3_Lesson1
9d0067f8091f,繼續,继续,jìxù,continue,continuar,請繼續你的表演。,Qǐng jìxù nǐ de biǎoyǎn.,"Por favor, continúa con tu actuación.",0,Book3_Lesson1
ae1178091a20,平安,平安,píng’ān,safe; at peace,seguro; en paz,祝你一路平安。,Zhù nǐ yílù píng'ān.,Te deseo un viaje seguro.,0,Book3_Lesson1
bf22891a2b31,貿易,贸易,màoyì,trade (international),comercio,這家公司主要做國際貿易。,Zhè jiā gōngsī zhǔyào zuò guójì màoyì.,Esta empresa se dedica principalmente al comercio internacional.,0,Book3_Lesson1
c0339a2b3c42,興趣,兴趣,xìngqù,interest; hobby,interés; afición,我對中國歷史很有興趣。,Wǒ duì Zhōngguó lìshǐ hěn yǒu xìngqù.,Tengo mucho interés en la historia de China.,0,Book3_Lesson1
d144ab3c4d53,收集,收集,shōují,collect,coleccionar,他喜歡收集各種郵票。,Tā xǐhuān shōují gèzhǒng yóupiào.,Le gusta coleccionar todo tipo de sellos.,0,Book3_Lesson1
e255bc4d5e64,鳥,鸟,niǎo,bird,pájaro,樹上有幾隻小鳥在唱歌。,Shùshàng yǒu jǐ zhī xiǎoniǎo zài chànggē.,Hay unos pajaritos cantando en el árbol.,0,Book3_Lesson1
f366cd5e6f75,貓,猫,māo,cat,gato,我家養了一隻可愛的小貓。,Wǒ jiā yǎng le yì zhī kě'ài de xiǎomāo.,En mi casa tengo un gatito muy lindo.,0,Book3_Lesson1
0777de6f7086,照片,照片,zhàopiàn,photograph,fotografía,這張照片是我去年拍的。,Zhè zhāng zhàopiàn shì wǒ qùnián pāi de.,Esta foto la tomé el año pasado.,0,Book3_Lesson1
1888ef708197,敲門,敲门,qiāo mén,knock on a door,llamar a la puerta,有人在敲門，你去看看是誰。,"Yǒurén zài qiāomén, nǐ qù kànkan shì shéi.","Alguien está llamando a la puerta, ve a ver quién es.",0,Book3_Lesson1
2999008192a8,照相,照相,zhào xiàng,photography; take photos,fotografía,這裡風景很美，我想照張相。,"Zhèlǐ fēngjǐng hěn měi, wǒ xiǎng zhào zhāng xiàng.","El paisaje aquí es hermoso, quiero tomar una foto.",0,Book3_Lesson1
3aaa118293b9,林,林,Lín,surname Lin,apellido Lin,林先生在辦公室等你。,Lín xiānsheng zài bàngōngshì děng nǐ.,El Sr. Lin te está esperando en la oficina.,0,Book3_Lesson1
4bbb2293a4ca,墨西哥,墨西哥,Mòxīgē,Mexico,México,墨西哥菜通常有點辣。,Mòxīgē cài tōngcháng yǒudiǎn là.,La comida mexicana suele ser un poco picante.,0,Book3_Lesson1
5ccc33a4b5db,張家安,张家安,Zhāng Jiā’ān,Joann Zhang,Joann Zhang,張家安是我的好朋友。,Zhāng Jiā'ān shì wǒ de hǎo péngyǒu.,Zhang Jia'an es mi buen amigo.,0,Book3_Lesson1
a101b202c301,海邊,海边,hǎibiān,seashore; beach,costa; playa,週末我們去海邊散步吧。,Zhōumò wǒmen qù hǎibiān sànbù ba.,Vamos a pasear por la playa el fin de semana.,0,Book3_Lesson2
b202c303d402,風景,风景,fēngjǐng,scenery,paisaje,這裡的風景美得像畫一樣。,Zhèlǐ de fēngjǐng měi de xiàng huà yíyàng.,El paisaje aquí es tan hermoso como una pintura.,0,Book3_Lesson2
c303d404e503,次,次,cì,time(s); occurrence,vez; ocasión,這是我第一次來北京。,Zhè shì wǒ dì yī cì lái Běijīng.,Esta es la primera vez que vengo a Pekín.,0,Book3_Lesson2
d404e505f604,輕鬆,轻松,qīngsōng,relaxing,relajado,聽音樂讓我感到很輕鬆。,Tīng yīnyuè ràng wǒ gǎndào hěn qīngsōng.,Escuchar música me hace sentir muy relajado.,0,Book3_Lesson2
e505f606a705,坐,坐,zuò,take; ride,sentarse; tomar,我們坐公車去夜市吧。,Wǒmen zuò gōngchē qù yèshì ba.,Vayamos en autobús al mercado nocturno.,0,Book3_Lesson2
f606a707b806,船,船,chuán,boat,barco,我們坐船去那個小島。,Wǒmen zuò chuán qù nàge xiǎodǎo.,Vamos en barco a esa pequeña isla.,0,Book3_Lesson2
0707b808c907,潛水,潜水,qiánshuǐ,to dive,buzear,他在這裡學會了潛水。,Tā zài zhèlǐ xuéhuì le qiánshuǐ.,Él aprendió a bucear aquí.,0,Book3_Lesson2
1818c909d008,各,各,gè,each; every,cada,超市裡有各種類型的水果。,Chāoshì lǐ yǒu gèzhǒng lèixíng de shuǐguǒ.,En el supermercado hay diversos tipos de fruta.,0,Book3_Lesson2
2929d010e109,種,种,zhǒng,kind; type,tipo; clase,你喜歡哪種顏色的襯衫？,Nǐ xǐhuān nǎ zhǒng yánsè de chènshān?,¿Qué tipo de color de camisa te gusta?,0,Book3_Lesson2
3a3ae111f20a,容易,容易,róngyì,easy,fácil,這件事做起來並不容易。,Zhè jiàn shì zuò qǐlái bìng bù róngyì.,Esto no es nada fácil de hacer.,0,Book3_Lesson2
4b4bf212031b,教練,教练,jiàoliàn,coach; instructor,entrenador,籃球教練正在指導隊員。,Lánqiú jiàoliàn zhèngzài zhǐdǎo duìyuán.,El entrenador de baloncesto está dirigiendo a los jugadores.,0,Book3_Lesson2
5c5c0321342c,到處,到处,dàochù,everywhere,por todas partes,春天到了，到處都是鮮花。,"Chūntiān dào le, dàochù dōu shì xiānhuā.","Ha llegado la primavera, hay flores por todas partes.",0,Book3_Lesson2
6d6d1432453d,曬,晒,shài,sunbathe,tomar el sol,他在沙灘上曬太陽。,Tā zài shātān shàng shài tàiyáng.,Él está tomando el sol en la playa.,0,Book3_Lesson2
7e7e2543564e,旅館,旅馆,lǚguǎn,hotel,hotel,我們住在火車站附近的旅館。,Wǒmen zhù zài huǒchēzhàn fùjìn de lǚguǎn.,Nos quedamos en un hotel cerca de la estación de tren.,0,Book3_Lesson2
8f8f3654675f,美,美,měi,beautiful,bonito; hermoso,這裡的風景非常美。,Zhèlǐ de fēngjǐng fēicháng měi.,El paisaje aquí es muy hermoso.,0,Book3_Lesson2
909047657860,一邊,一边,yìbiān,on the one hand…,por un lado…,他喜歡一邊看報紙一邊吃早餐。,Tā xǐhuān yìbiān kàn bàozhǐ yìbiān chī zǎocān.,Le gusta leer el periódico mientras desayuna.,0,Book3_Lesson2
a1a158768971,天上,天上,tiānshàng,in the sky,en el cielo,天上有許多星星。,Tiānshàng yǒu xǔduō xīngxing.,Hay muchas estrellas en el cielo.,0,Book3_Lesson2
b2b269879a82,星星,星星,xīngxing,stars,estrellas,晚上的星星真亮啊。,Wǎnshàng de xīngxing zhēn liàng a.,Las estrellas de la noche brillan mucho.,0,Book3_Lesson2
c3c37a98ab93,心情,心情,xīnqíng,mood; frame of mind,estado de ánimo,今天我的心情非常好。,Jīntiān wǒ de xīnqíng fēicháng hǎohǎo.,Hoy mi estado de ánimo es muy bueno.,0,Book3_Lesson2
d4d48b9abc04,怎麼,怎么,zěnme,how,cómo,這件事你打算怎麼辦？,Zhè jiàn shì nǐ dǎsuàn zěnme bàn?,¿Qué piensas hacer con este asunto?,0,Book3_Lesson2
e5e59cabcd15,搭,搭,dā,take; ride,tomar (transporte),我可以搭你的車回家嗎？,Wǒ kěyǐ dā nǐ de chē huíjiā ma?,¿Puedo irme a casa en tu coche?,0,Book3_Lesson2
f6f6adbcde26,飛機,飞机,fēijī,airplane,avión,坐飛機去北京只要兩小時。,Zuò fēijī qù Běijīng zhǐyào liǎng xiǎoshí.,Ir a Pekín en avión solo toma dos horas.,0,Book3_Lesson2
0707becdef37,租,租,zū,rent,alquilar,我們在學校附近租了一個公寓。,Wǒmen zài xuéxiào fùjìn zū le yígè gōngyù.,Alquilamos un apartamento cerca de la escuela.,0,Book3_Lesson2
1818cfdef048,決定,决定,juédìng,decide,decidir,我已經決定去中國留學了。,Wǒ yǐjīng juédìng qù Zhōngguó liúxué le.,Ya he decidido ir a estudiar a China.,0,Book3_Lesson2
2929d0ef0159,有一天,有一天,yǒu yì tiān,one day,algún día,有一天，我一定會去環遊世界。,"Yǒu yì tiān, wǒ yídìng huì qù huányóu shìjiè.","Un día, sin duda, iré a viajar por todo el mundo.",0,Book3_Lesson2
3a3ae1f1026a,海裡,海里,hǎi lǐ,in the sea,en el mar,海裡有很多各種各樣的魚。,Hǎilǐ yǒu hěnduō gèzhǒng gèyàng de yú.,En el mar hay muchos tipos diferentes de peces.,0,Book3_Lesson2
4b4bf2f2137b,聽起來,听起来,tīng qǐlái,sounds,suena,這個主意聽起來很不錯。,Zhège zhǔyì tīng qǐlái hěn búcuò.,Esta idea suena muy bien.,0,Book3_Lesson2
5c5c03f3248c,看到,看到,kàndào,see; catch sight of,ver,我昨天在商場看到你了。,Wǒ zuótiān zài shāngchǎng kàndào nǐ le.,Ayer te vi en el centro comercial.,0,Book3_Lesson2
a401b502c601,派,派,pài,send; post,enviar,公司派我到上海工作。,Gōngsī pài wǒ dào Shànghǎi gōngzuò.,La empresa me envió a trabajar a Shanghái.,0,Book3_Lesson4
b502c603d702,還,还,hái,still,todavía,這本書我還沒看完。,Zhè běn shū wǒ hái méi kàn wán.,Aún no he terminado de leer este libro.,0,Book3_Lesson4
c603d704e803,記得,记得,jìde,remember,recordar,你還記得我的名字嗎？,Nǐ hái jìdé wǒ de míngzi ma?,¿Aún recuerdas mi nombre?,0,Book3_Lesson4
d704e805f904,哇,哇,wa,Wow!,¡Guau!,哇！這件衣服太漂亮了！,Wā! Zhè jiàn yīfú tài piàoliang le!,¡Guau! ¡Esta ropa es demasiado bonita!,0,Book3_Lesson4
e805f906a005,當然,当然,dāngrán,of course,por supuesto,你是我最好的朋友，我當然會幫你。,"Nǐ shì wǒ zuì hǎo de péngyǒu, wǒ dāngrán huì bāng nǐ.","Eres mi mejor amigo, por supuesto que te ayudaré.",0,Book3_Lesson4
f906a007b106,分公司,分公司,fēngōngsī,branch company,sucursal,我們公司在倫敦有個分公司。,Wǒmen gōngsī zài Lúndūn yǒu gè fāngōngsī.,Nuestra empresa tiene una sucursal en Londres.,0,Book3_Lesson4
0707b108c207,科技,科技,kējì,technology,tecnología,現代科技發展得非常快。,Xiàndài kējì fāzhǎn de fēicháng kuài.,La tecnología moderna se desarrolla muy rápido.,0,Book3_Lesson4
1818c209d308,對,对,duì,to; toward,a; hacia,我對這個計劃沒有意見。,Wǒ duì zhège jìhuà méiyǒu yìjiàn.,No tengo objeciones a este plan.,0,Book3_Lesson4
2929d30ae409,情形,情形,qíngxíng,situation,situación,你能告訴我當時的情形嗎？,Nǐ néng gàosù wǒ dāngshí de qíngxíng ma?,¿Puedes contarme la situación en ese momento?,0,Book3_Lesson4
3a3ae41bf50a,了解,了解,liǎojiě,understand,entender,我非常了解他的個性。,Wǒ fēicháng liǎojiě tā de gèxìng.,Conozco muy bien su personalidad.,0,Book3_Lesson4
4b4bf52c061b,至少,至少,zhìshǎo,at least,al menos,這項工作至少需要三天時間。,Zhè xiàng gōngzuò zhìshǎo xūyào sān tiān shíjiān.,Este trabajo requiere al menos tres días.,0,Book3_Lesson4
5c5c063d172c,知道,知道,zhīdào,know,saber,你知道他在哪裡工作嗎？,Nǐ zhīdào tā zài nǎlǐ gōngzuò ma?,¿Sabes dónde trabaja él?,0,Book3_Lesson4
6d6d174e283d,方面,方面,fāngmiàn,aspect,aspecto,他在各方面表現都很出色。,Tā zài gè fāngmiàn biǎoxiàn dōu hěn chūsè.,Él destaca en todos los aspectos.,0,Book3_Lesson4
7e7e285f394e,發展,发展,fāzhǎn,develop,desarrollar,這個城市的經濟發展很快。,Zhège chéngshì de jīngjì fāzhǎn hěn kuài.,El desarrollo económico de esta ciudad es muy rápido.,0,Book3_Lesson4
8f8f396g4a5f,相當,相当,xiāngdāng,considerably,bastante,這家餐廳的味道相當不錯。,Zhè jiā cāntīng de wèidào xiāngdāng búcuò.,El sabor de este restaurante es bastante bueno.,0,Book3_Lesson4
9090477h5b60,有名,有名,yǒumíng,famous; well-known,famoso,長城是中國最有名的古蹟之一。,Chángchéng shì Zhōngguó zuì yǒumíng de gǔjī zhī yī.,La Gran Muralla es uno de los monumentos más famosos de China.,0,Book3_Lesson4
a1a1588i6c71,合作,合作,hézuò,cooperate,cooperar,我們期待與您的公司合作。,Wǒmen qīidài yǔ nín de gōngsī hézuò.,Esperamos colaborar con su empresa.,0,Book3_Lesson4
b2b2699j7d82,產品,产品,chǎnpǐn,product,producto,我們公司主要生產電子產品。,Wǒmen gōngsī zhǔyào shēngchǎn diànzǐ chǎnpǐn.,Nuestra empresa produce principalmente productos electrónicos.,0,Book3_Lesson4
c3c37aak8e93,世界,世界,shìjiè,world,mundo,世界各國的人都應該互相尊重。,Shìjiè gèguó de rén dōu yīnggāi hùxiāng zūnzhòng.,La gente de todos los países del mundo debe respetarse mutuamente.,0,Book3_Lesson4
d4d48bbl9f04,以為,以为,yǐwéi,suppose; presume,suponer,我以為你已經回家了。,Wǒ yǐwéi nǐ yǐjīng huíjiā le.,Pensé que ya te habías ido a casa.,0,Book3_Lesson4
e5e59ccm0g15,一直,一直,yìzhí,consistently; all the way through,siempre; continuamente,我一直都很喜歡這首歌。,Wǒ yìzhí dōu hěn xǐhuān zhè shǒu gē.,Siempre me ha gustado esta canción.,0,Book3_Lesson4
f6f6addn1h26,經驗,经验,jīngyàn,experience,experiencia,他有很多年的工作經驗。,Tā yǒu hěnduō nián de gōngzuò jīngyàn.,Él tiene muchos años de experiencia laboral.,0,Book3_Lesson4
0707beeo2i37,未來,未来,wèilái,future,futuro,未來的世界會更加現代化。,Wèilái de shìjiè huì gèngjiā xiàndàihuà.,El mundo del futuro será aún más moderno.,0,Book3_Lesson4
1818cffp3j48,幫助,帮助,bāngzhù,help; assist,ayudar,謝謝你對我的幫助。,Xièxiè nǐ duì wǒ de bāngzhù.,Gracias por tu ayuda.,0,Book3_Lesson4
2929d0gq4k59,剛,刚,gāng,just,acabar de; justo,我剛到家，你就打電話來了。,"Wǒ gāng dào jiā, nǐ jiù dǎ diànhuà lái le.",Acababa de llegar a casa cuando llamaste.,0,Book3_Lesson4
3a3ae1hr5l6a,約,约,yuē,make an appointment; agree a date,concertar una cita,我和朋友約好明天去爬山。,Wǒ hé péngyǒu yuē hǎo míngtiān qù páshān.,Quedé con mis amigos para ir a la montaña mañana.,0,Book3_Lesson4
4b4bf2is6m7b,見面,见面,jiànmiàn,meet up (with someone),quedar; verse,我們在那家咖啡館見面吧。,Wǒmen zài nà jiā kāfēiguǎn jiànmiàn ba.,Reunámonos en esa cafetería.,0,Book3_Lesson4
a501b602c701,烏龍茶,乌龙茶,wūlóngchá,oolong tea,té oolong,烏龍茶是台灣的特產。,Wūlóngchá shì Táiwān de tèchǎn.,El té Oolong es una especialidad de Taiwán.,0,Book3_Lesson5
b602c703d802,香,香,xiāng,aromatic; fragrant,aromático,廚房傳來了很香的味道。,Chúfáng chuánlái le hěn xiāng de wèidào.,De la cocina llega un olor muy rico.,0,Book3_Lesson5
c703d804e903,後天,后天,hòutiān,the day after tomorrow,pasado mañana,明天不行，我們後天見吧。,"Míngtiān bùxíng, wǒmen hòutiān jiàn ba.","Mañana no puedo, nos vemos pasado mañana.",0,Book3_Lesson5
d804e905f004,聞,闻,wén,smell; sniff,oler,你聞聞這朵花，真香！,"Nǐ wénwen zhè duǒ huā, zhēn xiāng!","Huele esta flor, ¡qué bien huele!",0,Book3_Lesson5
e905f006a105,麻煩,麻烦,máfan,trouble; bother,molestar; dar problemas,這件事辦起來真麻煩。,Zhè jiàn shì bàn qǐlái zhēn máfan.,Es un verdadero lío hacer esto.,0,Book3_Lesson5
f006a107b206,味道,味道,wèidào,flavor; taste,sabor,這杯咖啡的味道很香醇。,Zhè bēi kāfēi de wèidào hěn xiāngchún.,El sabor de este café es muy aromático y puro.,0,Book3_Lesson5
0707b208c307,不同,不同,bùtóng,different,diferente,每個人都有不同的想法。,Měi gè rén dōu yǒu bùtóng de xiǎngfǎ.,Cada persona tiene ideas diferentes.,0,Book3_Lesson5
1818c309d408,濃,浓,nóng,thick; rich; concentrated,concentrado,我不喜歡喝太濃的咖啡。,Wǒ bù xǐhuān hē tài nóng de kāfēi.,No me gusta beber café demasiado cargado.,0,Book3_Lesson5
2929d40ae509,淡,淡,dàn,light; bland; diluted,suave; aguado,醫生建議他吃清淡一點。,Yīshēng jiànyì tā chī qīngdàn yìdiǎn.,El médico le recomendó comer un poco más ligero/insípido.,0,Book3_Lesson5
3a3ae51bf60a,選,选,xuǎn,choose; select,elegir,請在這些書中選一本你喜歡的。,Qǐng zài zhèxiē shū zhōng xuǎn yì běn nǐ xǐhuān de.,"Por favor, elige un libro que te guste de entre estos.",0,Book3_Lesson5
4b4bf62c071b,泡,泡,pào,steep; soak,infusionar,爸爸每天早上都會泡一壺茶。,Bàba měitiān zǎoshàng dūhuì pào yì hú chá.,Papá prepara una tetera de té cada mañana.,0,Book3_Lesson5
5c5c073d182c,華人,华人,Huárén,Chinese people (ethnic group),chinos (grupo étnico),世界上到處都有華人。,Shìjiè shàng dàochù dōu yǒu Huárén.,Hay chinos (etnia) en todas partes del mundo.,0,Book3_Lesson5
6d6d184e293d,習慣,习惯,xíguàn,habit; custom,hábito; costumbre,你要適應這裡的生活習慣。,Nǐ yào shìyìng zhèlǐ de shēnghuó xíguàn.,Tienes que adaptarte a los hábitos de vida de aquí.,0,Book3_Lesson5
7e7e295f3a4e,不用,不用,búyòng,no need to…,no hace falta,不用客氣，這是應該的。,"Búyòng kèqì, zhè shì yīnggāi de.","No hay de qué, es lo que hay que hacer.",0,Book3_Lesson5
